year,Map Images Left,Extreme_Drought,Extremely_Wet,Moderate_Drought,Moderately_Wet,Near_Normal,Severe_Drought
1981,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1981.png,0,0,0,2306.23,61466.51146,0
1982,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1982.png,7393.91,0,25059.71,0,944.8914873,30374.22557
1983,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1983.png,0,23.58,0,18155.23,45593.9235,0
1984,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1984.png,0,0,296.09,0,63476.64739,0
1985,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1985.png,0,0,4361.39,195.37,59215.9764,0
1986,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1986.png,2856.05,0,29522.34,0,5246.299045,26148.05059
1987,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1987.png,776.33,0,30499.77,0,16586.12578,15910.51208
1988,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1988.png,0,33892.7,0,26469.4,3410.641971,0
1989,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1989.png,0,0,3939.9,0,59832.83703,0
1990,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1990.png,0,197.79,0,9043.19,54531.75758,0
1991,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1991.png,163.83,0,21352.14,0,36243.97838,6012.78758
1992,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1992.png,0,0,35124.29,0,27664.92113,983.5260607
1993,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1993.png,0,0,223.92,0,63548.81205,0
1994,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1994.png,0,0,1470.09,0,62302.64783,0
1995,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1995.png,0,0,1270.47,0,62502.26694,0
1996,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1996.png,0,0,2390.14,0,61382.60178,0
1997,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1997.png,864.05,0,20240.1,0,1576.53603,41092.04697
1998,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1998.png,0,2034.89,0,17504.37,44233.47337,0
1999,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/1999.png,0,0,0,0,63772.73685,0
2000,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2000.png,0,0,0,1737.33,62035.40925,0
2001,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2001.png,0,0,1071.99,0,62700.74698,0
2002,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2002.png,0,0,29702.51,0,29550.76863,4519.453864
2003,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2003.png,0,0,17303.38,0,42344.89921,4124.454875
2004,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2004.png,171.03,0,23630.24,0,30452.43526,9519.036505
2005,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2005.png,0,35367.2,0,18943.94,9461.595645,0
2006,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2006.png,0,36443.27,0,22229.08,5100.380235,0
2007,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2007.png,0,264.43,0,13677.03,49831.27226,0
2008,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2008.png,0,0,6.24,0,63766.49444,0
2009,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2009.png,0,0,5978.11,0,57341.08531,453.5367991
2010,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2010.png,0,52872.26,0,10883.38,17.10276419,0
2011,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2011.png,0,0,0,0,63772.73685,0
2012,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2012.png,0,0,2602.66,0,61170.07985,0
2013,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2013.png,0,183.36,0,11477.09,52112.28457,0
2014,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2014.png,0,0,19469.67,0,42376.06936,1926.997575
2015,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2015.png,0,0,21271.75,0,40242.01099,2258.97667
2016,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2016.png,0,0,0,7288.92,56483.81323,0
2017,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2017.png,0,0,0,1683.42,62089.31359,0
2018,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2018.png,0,0,18456.76,0,45257.61306,58.36562427
2019,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2019.png,0,521.03,0,21371.43,41880.27825,0
2020,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2020.png,0,32655.57,0,14724.29,16392.87524,0
2021,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2021.png,0,5516,0,41175.54,17081.20509,0
2022,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2022.png,0,52066.51,0,11437.29,268.9369965,0
2023,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2023.png,0,0,0,0,63772.73685,0
2024,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2024.png,0,381.28,0,30113.56,33277.89447,0
2025,https://raw.githubusercontent.com/narendra2074/Drought_marathwada_1981_to_2025/main/2025.png,0,0,2004.66,0,61768.07236,0
